"CD11c-159 (v)"	"CD61-150 (v)"	"HLA-DR-174 (v)"	"CD34-148 (v)"	"CD117-143 (v)"	"CD62L-153 (v)"	"CD123-151 (v)"	"CD13-152 (v)"	"CD33-158 (v)"	"CD184-175 (v)"	"CD38-167 (v)"	"CD16-165 (v)"	"CD183-156 (v)"	"CD19-142 (v)"	"CD56-176 (v)"	"CD24-166 (v)"	"CD25-169 (v)"	"CD15-164 (v)"	"CD185-171 (v)"	"CD235a-141 (v)"	"CD14-160 (v)"	"CD7-147 (v)"	"CD3-170 (v)"	"CD11b-144 (v)"	"CD64-146 (v)"	"CD4-145 (v)"	"CD45-154 (v)"
"5"	3.28599162245199	2.80146761134154	2.43622781452183	-3.37171556699105	-0.758313414767567	-1.27161881021974	0.494916788269504	0.64808609367279	0.807223010437775	0.831756552659149	1.10929920825286	0.181632924890755	0.057823462036038	0.00262803992779262	0.183476226774308	0.516692622465892	-0.00134498420002709	0.159813885142716	0.00363687352117969	0.473525366188996	1.25669592518048	0.357876290203655	0.115062041790631	4.71390770892164	6.75811513778498	3.68939260900272	8.08027438371521
"9"	2.18299721201455	2.54714942266339	2.18494784441766	-3.64739304615248	-0.761375383828238	-1.39815830078029	0.327327045102847	-1.13896789952117	0.731519126102756	0.557426246404035	1.62436598065659	0.0775516814933865	-0.110610770860795	-0.00112274217820233	0.144907422902258	0.275067116947279	-0.00238769592432329	0.0876501960856083	0.0089688634169798	0.139740327398232	1.02369235696888	0.307717052100877	0.0395894905371699	4.12495362314534	6.91307984145029	2.06044158304721	7.31090568966605
"11"	2.36369357993719	2.46691147335592	-0.912708156507282	-3.74099372339366	-0.858039586795909	-1.4691924000603	-0.861934683961931	1.31105831472429	0.602789152312678	0.320042535675328	0.917263533936896	0.0921480094515586	-0.123035438658746	-0.00262478795644948	0.041131329816904	0.375063475557826	0.000328076984670064	0.110693164777866	0.00866583645561671	0.164156371607259	1.2695823992073	0.259710593256036	0.0490861477033987	4.21198865889302	4.96562504971666	2.14704702910195	7.44938759599438
"8"	3.47351637803932	2.79710596167507	2.35162291952942	-3.64584601763775	-0.792581797130528	-0.96119866137735	0.21799012134655	2.26873018175505	0.724078746664127	0.683770553975315	0.942858533225558	0.149134114219699	0.0707080296401591	-0.0138140314542129	0.138722118335576	0.378914488209327	-0.000827206367447959	0.120154560339684	0.00505267204429433	0.310648842342383	1.35927768288039	0.350746063441566	0.113489039866693	5.27192237879705	6.45765555040329	3.90880610960999	8.50229087378804
"14"	3.45964945297698	1.8497245781507	2.14539372135829	-3.66432312151283	-0.757707147842171	-1.2767233115213	-1.14543966360492	2.46219331409779	0.599861050199875	0.366528984688352	0.794906279397436	0.0178284286043477	-0.106072274324935	-0.00426890931959932	0.0766285067759134	0.122399919411447	0.00165194986748294	0.0297529790202728	0.00863629959825267	0.125086849269463	1.39663869060777	0.298969098385665	0.0775233207592656	5.47691685395859	6.43441342294482	3.53272272350272	8.95481903675687
"15"	2.46301067009766	2.69441260798037	1.20776837748765	-1.41964370461763	-0.712609401997828	1.0544475991731	0.137218477951759	1.1448532245966	0.400306835549226	0.741898041385834	0.992329036345358	0.276854884631211	0.153883034561893	0.0624850417617489	0.198598551512233	0.48749608935741	-0.0103952572345719	0.247795466001151	0.309834629041196	0.444596561982541	1.0001712059328	2.86997986683572	3.72077732238146	4.6360959477942	6.04880849384871	4.71528984583733	10
"18"	-3.28660439237391	0.436868335707866	-3.30509986479264	-1.47659266943488	-0.81461919934569	1.74668971179798	-2.34461045465521	-1.13712177758673	-1.33556441992231	-0.418592333745687	-0.473391219616283	0.00414619553448269	-0.110489965085554	-0.00532969488332238	-0.34541809324708	0.228583345891722	-0.00933036996154465	0.0271394473032874	0.37370191943485	0.191095290713327	0.492743829558539	3.51119725749461	4.11280503460862	1.52631719319859	3.19742005502628	7.09798070705326	9.88191854488716
"16"	-3.1094189725596	-1.44314866056541	-2.02864292458289	-2.13785632855389	-0.738918648418931	-0.144725249679194	-2.3240167992159	-1.18441981372173	-1.26626190264512	-0.930886076011261	-1.99684145487232	0.00103619825321671	0.106168552450918	-0.00519024854400265	-0.265616424300709	-0.070298457798522	-0.00370583011234571	-0.0729244761385516	0.290676246452661	0.0653665824612671	0.420768662006019	1.59902029648668	3.66442639407753	1.51643759756875	2.44502030856882	5.64493907543651	8.48837212514844
"6"	2.47350158488901	1.90779220874966	1.91376956547096	-1.55268889962277	-0.738693257018732	-0.360267264464681	0.680244014773733	0.340025879027355	-0.906746027924625	-0.0675501989557015	-0.53986703301237	4.133125787462	-0.113846813376016	-0.00415559639088905	0.491720211147812	0.539920034841285	0.000792827232178732	0.074559427446009	0.0076052854288528	0.217205159973057	0.299429291774803	1.10347224506123	0.0865471712336971	2.10904951197312	1.30738071938722	1.61166734163417	6.45234418048065
"4"	1.32592616036295	1.9433704883609	2.9807547581659	-3.39344074965364	-0.732968676986745	-1.23531643964957	1.18984730882445	-1.40597899972739	0.654641959998895	1.44023860023386	1.99907111688607	0.135236185949745	-0.0548445340718224	0.00209988472393101	0.286651754325616	0.447397645644975	-0.00673076363053983	0.17991766853536	0.0041986369821188	0.179526194395603	0.268557234612053	0.239520582413422	-0.00242066474089927	1.57212274123947	4.06951764767835	2.18971175443008	4.84448590260227
"3"	-2.35614990616842	1.9758435033947	2.36071326845643	-0.881670821374219	-0.708159613513407	0.0221528003509066	4.11425068535993	-0.487999932665287	-0.939021908894947	0.850589254687126	0.243105481292379	0.0582422148240129	0.119454413914703	0.0367820482993285	0.163191817698492	0.25797575557021	0.00052517514161711	0.113437920131383	0.00563886060381574	0.645052770274137	0.35619698824189	-0.361647837649215	0.0078787488752679	-1.3986206135742	1.50227901685425	1.83220864495655	1.88913177380422
"20"	-3.15024462862809	-0.455353656389364	-1.43180582416485	-1.26374149768345	-0.757184198419707	0.0562147456923085	-2.30243174141561	-0.803548283464037	-1.28439659662549	-0.74322981213346	-1.11324515806472	-0.00550480862645191	0.178980983453496	0.00360273657338031	-0.242108073651375	0.0292097647402158	-0.00154475663524646	-0.044628757990646	0.198903251797031	0.0588820422805848	0.438247333876958	2.57668491050455	3.42687820901266	-1.75374000952994	-3.40876748464408	-3.65896978454831	8.53080250122465
"1"	-2.45921102757541	-2.00161639829924	2.38173986643639	-1.20332380909523	-0.699657016471692	-0.762030451990004	-2.07778129627029	-1.25448089340208	-1.20756167126507	0.19434052581301	-1.3338505348477	0.00561220829988917	0.996284495855918	1.76977038903657	0.0494144151272896	0.0504030712362002	0.00510822658848644	-0.0690523257056355	0.230332449745326	-0.0377929189143444	0.391920228237474	-0.657833779465348	-4.99327878135748e-05	-3.39395026455031	-5.21228016214522	-4.18453721414278	2.36484179044467
"2"	-2.4690454962699	0.418653734236173	1.3555142851045	2.306404637537	0.868946328491785	0.476482412729383	1.26769802149877	0.518069096025128	0.100008444361598	0.218096153577106	0.782256799044335	0.0097277029252201	0.0800683463749509	-0.00146194602873055	0.107656942041052	-0.332445809658233	-0.000235502453116246	0.0363147700381122	0.000851559047195545	0.0935255572661062	0.600372361378263	-0.850440053578759	0.153920313723262	-5.04397652923373	-5.90697763383084	-4.55685425931519	-6.10262141591797
"7"	-3.09269568033585	-4.02446586202202	1.96278450978116	2.60297189687114	1.0536501878838	1.90616834158537	0.782480749809403	-0.73260211204318	-0.115393950616521	-0.903887420918575	0.609921722453275	0.00988584439127175	0.0344252386148334	0.00114863103603007	0.00188660086724087	-0.373746147633091	1.17237966454474e-05	-0.0137130279849466	0.0035540605741225	0.0722935989465791	0.464686773236501	-0.71976296985863	0.0541990917570836	-4.77735076075834	-5.73480810780246	-4.29782650396209	-5.69238327566845
"13"	-3.3651551724339	-4.29192486325224	0.844317422410886	2.06813204612283	0.264621683731079	-1.55749233125396	-0.692477326542802	-1.22369326120753	-0.887222188058533	-0.306228003162018	0.877303928094725	0.012711090351561	0.0317501440204168	0.00450479791591148	-0.183589496215184	-0.423452646218887	5.06282773820818e-05	0.00257268193868008	0.00628917123432641	0.113304252667553	0.594398871268321	-0.844204183516907	0.147442474584757	-5.03982859460852	-5.97457699044312	-4.53937015825142	-5.63147779216877
