"CD34"	"CD123"	"HLA-DR"	"CD16"	"CD33"	"CD184"	"CD13"	"CD38"	"CD117"	"CD62L"	"CD56"	"CD183"	"CD25"	"CD185"	"CD19"	"CD14"	"CD15"	"CD24"	"CD235a"	"CD3"	"CD7"	"CD11c"	"CD61"	"CD11b"	"CD64"	"CD4"	"CD45"
"12"	0.613795788557292	0.778961010401472	2.52756597555111	0.233928010035025	0.697878472062801	1.18805178428843	1.8135373989967	2.26493027828701	0.00153534186385475	1.72105802402677	0.326933549658992	0.286558756147053	0.016420633752774	0.323248039036044	0.0711598264780086	0.975607042711323	0.306425974016657	0.587506632387159	0.396006133742179	3.6405271844472	2.85834794430734	2.14067002236071	2.49510228545709	3.12462183745069	3.38602302102203	4.29092057734808	6.01000630568217
"9"	0.385797884586839	0.373032362810574	1.61610568140591	0.702762747395627	0.318165866112292	0.797453440408952	0.777063571806723	1.83774547775519	0.0180966354339802	0.868418166045998	0.707616993790157	0.224311830611854	0.0243558009054804	0.083500150182004	0.0121150023463294	0.239772921379081	0.699109685326469	0.998248625923628	0.710302209408011	2.54159432940966	2.79800247140517	0.828928064163789	1.91140609267287	1.96754124058578	1.88938333771994	0.998821892714774	5.51382878393372
"17"	0.10533961383372	1.21974687214861	4.76499137228748	0.289373413100014	0.647962712350156	1.27342510946862	1.82346057631159	1.50377605739764	0.00921702050253406	0.307531339327513	0.230269525173321	0.119405355593124	0.0274182615214183	0.0140174685947345	0.0045257016502735	0.758072828726251	0.0921494329504876	0.289608065609816	0.258716865598775	0.15030853725085	0.301772796949902	3.19069566144149	2.5391897730307	3.22105541351285	3.47419601966474	2.97490958734209	5.77778102125437
"19"	0.099006887068975	2.50683063375427	3.99675388977118	4.83893744427276	0.12668169126688	0.793032484291277	1.30706807371729	0.348483608573236	0.0138843188138169	0.430379410746128	0.11650893570087	0.0941753882309449	0.0289056369148103	0.0175792530768137	0.000149191618173459	0.178575317681794	0.18394196625308	0.735885762840897	0.285089779527064	0.104357033637742	0.168125463290375	3.18548439820494	3.51139621431312	1.85716914161719	1.72141327642543	2.61406749092689	6.01356488953178
"10"	0.060595838180405	0.554915399045282	2.24247508640527	0.103944669515212	0.952352982565133	0.862075782749914	1.91334698511756	2.09863193991005	0.0150274894075851	0.259682434780747	0.221975096416534	0.123537415973979	0.0256055110093333	0.0177956049565012	0.00856097463090005	1.31930187981908	0.166573679215272	0.401041136969332	0.203362548793588	0.0777190058938484	0.289301242058224	2.3806102372062	2.44484314108893	3.2595212560259	3.45437347960603	2.11099336736521	4.99410940004464
"14"	0.0769091154149216	1.50887226264528	3.53860722263197	0.12746155129725	0.941459626924364	1.76718786512118	0.208402120955213	2.87615622680491	0.0197932720065121	0.207131458759238	0.375588773364192	0.105959591227676	0.0209236176021669	0.0162905491096898	0.0165909859527541	0.23185628233983	0.210099629138787	0.453662801132793	0.160966367783016	0.00032683768655752	0.273076537744091	1.21313369072421	2.2689129877466	1.44346613815738	3.36912253604869	1.4540463649765	4.08374377129872
"16"	0.259924318801102	1.09129563715313	2.50096830142715	0.570116653145428	1.04673356531915	1.31927079408378	1.57798349981944	2.24814738133518	0.10745207429828	0.356493791407394	0.368382989350117	0.182413655953587	0.0199887633889013	0.007106683435652	0.753996034355806	1.14271059860968	0.57398855187665	1.00008229867886	4.44147182666064	0.157294337974536	0.389404057293578	2.20647936030496	3.72310574782976	3.0792022745648	3.39827977725728	2.06950181108505	4.91001120018624
"13"	0.149406448311448	0.589182095366636	0.76993978410056	1.19499475737278	0.614917522452327	0.714264669803248	0.205130694143396	1.1748423584268	0.0176920840118406	0.221493101891192	0.306559829917465	0.366970929567205	0.0285141053733989	0.0098710920730474	0.0167863353237987	0.311052360757645	1.85706015857377	2.24163282320943	0.74791392785025	0.0777419756517718	0.300523440233675	0.65570616619696	3.00529839426174	2.03869310778936	1.80488625950767	0.829975293464308	2.84186185431005
"18"	0.171098164074283	4.94817193324881	3.90707397787938	0.217255656363001	0.0186331496724573	1.62997151650528	0.779299029960002	1.78263147535071	0.0176128062918773	0.548151770641958	0.266797482478691	0.312158676848391	0.0264292008402879	0.0165190008575917	0.00701656196969706	0.00472279024794969	0.242946525483585	0.568384398457493	0.2325326246064	0.00371654866863597	0.142933368934723	0.0480694878999944	3.44186734844002	0.72797727134318	1.0503878659508	3.00418301609728	4.02630472119988
"15"	0.683584471740175	2.86514128395946	4.79401079488364	0.0632222603076479	0.294715463587567	1.64323409741596	0.573277877885347	3.03959925910983	0.061919826741056	0.550027661327388	0.456452494299752	0.179696864700464	0.0176002117957439	0.0143365717139668	0.0186344686929273	0.00490183754715821	0.215382638245132	0.349366012356666	0.105549739095426	0.0118823901102243	0.0793902629244441	0.602384751051361	0.752152916631642	0.332777541899818	0.72892955360867	0.73357176222511	3.03862722577065
