"CD34"	"CD123"	"HLA-DR"	"CD16"	"CD33"	"CD184"	"CD13"	"CD38"	"CD117"	"CD62L"	"CD56"	"CD183"	"CD25"	"CD185"	"CD19"	"CD14"	"CD15"	"CD24"	"CD235a"	"CD3"	"CD7"	"CD11c"	"CD61"	"CD11b"	"CD64"	"CD4"	"CD45"
"12"	-1.28879484198726	0.169891779225052	1.10011190930451	0.220119336874814	0.387150578597808	0.63820174986834	1.11882376818349	0.998881178859481	-0.68197435637002	1.079947537953	0.185783423215124	0.15685058869962	-0.00950137893386012	0.305882899762401	0.0560678613304966	0.94845599914218	0.229136404310412	0.49233008505081	0.386752831155508	3.56300953866151	2.7797469131446	2.29773617824522	2.51480739197663	4.31299433460603	5.58296589390094	4.79849770433145	9.52304315070718
"9"	-1.55128935319659	-0.683659088072158	0.569897548150974	0.679729068988878	0.0124563675441701	0.345512642940384	0.273207643151592	0.233981966378203	-0.658999451065232	0.343805896412914	0.557901163127217	0.0949370019809667	-0.00168682591274113	0.0711769222990672	-0.00169692973926113	0.227635914345994	0.613298378632702	0.893594058559796	0.694939561102753	2.48637650124738	2.71600532801856	1.16390916894902	1.91462692777453	2.88847807097947	2.44446818183659	1.5366309578098	7.82922623604114
"17"	-3.37770302832113	0.50469312896414	3.96912839181443	0.273869123394315	0.346661260076922	0.808165148834563	1.14977886942068	-0.237188278551549	-0.709550162187749	-1.06163146826045	0.0933198554597893	-0.0957272995728357	0.00135298541985585	0.00322136456458766	-0.0094727192743181	0.734062591474388	0.0186170522606716	0.202531643566962	0.251858951598107	0.142208254323046	0.277456442090796	3.78846863209756	2.36431026603187	4.6027118235689	5.47212914877873	4.54578925393111	8.52859800806202
"19"	-3.1302542779753	1.92686867524242	3.01118845554612	4.73281969300717	-0.78606954677619	0.382709226809222	0.888130281883904	-1.7238303301858	-0.677247658924314	-0.737955771939277	-0.170378837738132	-0.117899548884531	0.0028017463658599	0.00667688697502398	-0.0135022025886379	0.250203251223249	0.108926557411221	0.63909734533044	0.278065514231035	0.0976778035380837	0.213521708687971	3.80386732316944	3.28180006877868	2.24994047179131	2.54627098328768	3.71638552321507	10
"10"	-3.56888376593036	-0.509007616769195	1.19992265932334	0.0881960363874238	0.787680531863897	0.459533859292363	1.42189700783009	1.19642723065182	-1.11976725861865	-1.50412239398764	0.104656054291709	-0.123609972875537	-0.000584634386749116	0.00936016238361314	-0.00655486339793665	1.27233736660696	0.113570955492669	0.362213687018957	0.19387076217036	0.077118800871275	0.279328565976057	2.26627891864586	2.18550045231717	3.13686025118532	3.59051137260723	1.97727238736626	7.81718731685587
"14"	-3.4490325296194	0.920056265091518	2.09705303938167	0.115384131265908	0.642083507787891	1.33590613323126	-1.50312582254475	1.82198624999927	-0.711455897227208	-1.25029987438557	0.238950901539944	-0.108192893484638	-0.00518690871582652	0.00551228391051788	0.0027733673647084	0.21902519328105	0.137113827329215	0.366155261485038	0.156194243170705	-0.00423054724002609	0.248292951169167	1.34642699945786	2.17095040776603	1.85382427999147	5.05844323482733	1.88438873456631	5.3521602621582
"16"	-2.03901725889131	0.502894011218488	1.38630966997923	0.549663626596487	0.728501971338355	0.744671251987162	0.884470270300658	1.06514005947275	-0.572480162173971	-0.748799479184724	0.226083042625713	0.0539244177433322	-0.00597720842092913	-0.00369144121449077	0.725234526729918	1.11239378735512	0.491090356743239	0.896289377477775	4.35143714265663	0.149646744265304	0.355869808867582	2.58596038257415	3.09044587138905	4.252291101378	5.44186524015064	2.62837186655462	6.38126078587224
"13"	-2.58540521099541	-0.21211531632461	-1.29516562519987	1.1620750726978	0.394946134054124	0.270271990988862	-1.1707101863035	-0.80361571635934	-0.661309269939199	-1.0534553112037	0.164875469822228	0.234978575682952	0.00239409035018566	-0.000967210420375766	0.00288956004083101	0.297447406511874	1.74884503474362	2.11307235061901	0.731752584722323	0.0717444598658181	0.26820746776595	1.0915636067328	3.1374069063797	3.84888573910756	3.42120354255797	1.3831239195633	3.95916165819841
"18"	-2.17477255824984	5.63745691433015	3.27542215041983	0.203855351123053	-1.15736443784636	1.07710855159802	0.611424356481241	0.304344984511442	-0.666122020359046	-0.096613943773424	0.126430144535474	0.181568182213297	0.00035032957834281	0.00558530181320964	-0.00671197212804393	-0.33124403663979	0.166437996969796	0.473114334331055	0.226670755642515	-0.000784769158585397	0.113664505904857	-2.29785858274688	3.1089188758887	1.2365536916263	2.078918692066	3.60369243810837	4.57273450629502
"15"	-0.691472753912361	2.10629835747064	4.40390962049267	0.0529688391527944	-0.116018778189182	1.06994972711091	-0.532822089313922	2.32140430150525	-0.348419831557418	-0.27781900370636	0.312307564371801	0.0512127199413837	-0.00832074216589598	0.00341895144656906	0.00471344907695669	-0.326624049438885	0.139181506361349	0.257681637370073	0.102278212329407	0.00723871463508863	0.489926135555509	0.756880608915806	0.490914291860536	-1.53171614686485	1.43928930454552	1.052155132675	3.03849601712064
