"CD11c-159 (v)"	"CD61-150 (v)"	"HLA-DR-174 (v)"	"CD34-148 (v)"	"CD117-143 (v)"	"CD62L-153 (v)"	"CD123-151 (v)"	"CD13-152 (v)"	"CD33-158 (v)"	"CD184-175 (v)"	"CD38-167 (v)"	"CD16-165 (v)"	"CD183-156 (v)"	"CD19-142 (v)"	"CD56-176 (v)"	"CD24-166 (v)"	"CD25-169 (v)"	"CD15-164 (v)"	"CD185-171 (v)"	"CD235a-141 (v)"	"CD14-160 (v)"	"CD7-147 (v)"	"CD3-170 (v)"	"CD11b-144 (v)"	"CD64-146 (v)"	"CD4-145 (v)"	"CD45-154 (v)"
"5"	2.64177194331926	2.84306556867619	3.41628332415972	0.11584600566798	0.0103882778838675	0.237753263844023	1.10372061808944	0.86424225494762	1.0649402953446	1.27568471679204	2.18947159501832	0.187125085301291	0.158544120302477	0.0168999137447906	0.309990004710839	0.579976485035153	0.024804440656229	0.225067705060546	0.0142194148322236	0.463864663402833	1.23498563365899	0.362111162467299	0.117414869970384	3.11995450470792	3.63405523279099	2.56521594424972	5.19411015150312
"9"	1.71489589972923	2.36807372945663	2.35673003079651	0.0536133166727849	0.0184318616052407	0.201056038109454	0.858693487409903	0.375315427182656	0.99245050167498	1.0357842820763	2.45576791141519	0.085367246052353	0.111314181794573	0.0127723151750042	0.274385188309901	0.3479319318075	0.0238210033974084	0.156642903411622	0.0192145057625093	0.1378975523638	1.00761771602716	0.315287187338899	0.0434795538986419	2.73197539931749	3.56473611262698	1.56943633408731	4.61803857466102
"11"	2.12277249573738	2.45884483638096	1.26074500348341	0.0330709928690493	0.0171061517652741	0.225120359201096	0.383698162187759	1.84510177829572	0.840829677308861	0.713833805587802	1.9694359292685	0.100621072310927	0.110555221658087	0.0114796108927216	0.174461222237382	0.432605235972853	0.0263691214199193	0.173620269429639	0.0183698067876835	0.162507740971222	1.25042785070383	0.256237767928621	0.0533100545824149	3.19261155675976	3.25620472663387	1.58078717391362	4.78907823674466
"8"	2.85564467554901	2.74837907874015	3.29813972652514	0.103669543973779	0.00990925605397504	0.36204217417504	0.760438018090998	2.53468956585296	0.971597524825361	1.09871612041508	2.02284789473005	0.155903061881056	0.137925231524691	0.00102841960143388	0.26562137044083	0.442539144344447	0.0253060470178602	0.185259670154156	0.0154395923080669	0.30537572226891	1.33627368965707	0.348465157697282	0.116367105551904	3.46265648037129	3.58243962071353	2.73014420063325	5.38966056947855
"14"	2.6307498093787	1.63906914937515	2.31802728527573	0.0290191073595039	0.014357199255035	0.265720060572114	0.285799649894752	2.63742767397271	0.868994182991314	0.66200817736931	1.88100111319024	0.0269390253370035	0.114425002659882	0.00982194446550894	0.171364151612605	0.202714693755432	0.0276367072598695	0.10162999468745	0.0188995643288805	0.123536985925848	1.37140451956561	0.198817063249436	0.0806095575846517	3.48264612351634	3.39330552400334	2.39483344546866	5.14634925548431
"15"	2.18958039225306	2.56521439508507	2.612629646331	0.581239062367142	0.00393501161279749	1.64727649710345	0.822548856282832	1.78839822744863	0.693284926638602	1.23194767704727	2.22445276497202	0.279260988004267	0.276527401522031	0.0748756985349518	0.330964506167354	0.560510120979205	0.0159843594937421	0.314250201703767	0.313210796616843	0.434841189133927	0.982979284995693	2.81991537061057	3.63256144278445	3.13701085456516	3.41510707621544	4.28683904452143	6.02334438991361
"18"	0.00602531512598821	0.812958155111044	0.102395120428631	0.606598905567443	0.0166363691233349	2.25215333817429	0.00670955461237083	0.380339816151468	0.00721400157901815	0.410890988146137	1.16358528424219	0.0138858171742665	0.114165906592902	0.00898303228706987	0.0100001933346737	0.299939448068156	0.0174852203414533	0.0986619613897111	0.37818063399181	0.188480912629229	0.0131557385067489	3.42563051961112	4.01857761189254	0.743771415082851	1.36462082866529	4.39138100898732	5.56517783409304
"16"	0.00807070861507666	0.226597993767999	0.241798568101207	0.212899333253983	0.013729218471423	0.519426578391416	0.00255557417851967	0.315383075560026	0.00865605492076517	0.193243865194289	0.23201694335497	0.0101203978994219	0.228904736938593	0.00889509809084854	0.0429016342289912	0.0766571074345151	0.022532799394834	0.00462162836221926	0.295354267856681	0.0651041447500599	0.0180145036873813	1.56666857095178	3.57897334553061	0.471968337146677	1.10832045394154	4.25912261481693	5.42495515549207
"6"	2.68161293878713	2.40469217387588	3.30906797235714	0.366629851351023	0.0154289193808403	0.490081529685635	1.37446275983001	1.00106641329129	0.0965015856527211	0.509860253796817	1.0827806095968	4.04030885570545	0.105817125044403	0.00987225728016163	0.611018075215134	0.604880808523885	0.0268275186483175	0.144616660055227	0.0180157889522904	0.213386587509267	0.11981360277137	1.09002807498583	0.0893637437649904	1.83469287492961	1.32640105047905	1.96132632353363	5.76787905778358
"4"	1.32143339758676	2.17864552154129	4.04136791155118	0.104993920947131	0.0180829802573696	0.231131649600896	1.67210523847583	0.240440979881924	0.929093578851596	1.85813794391575	2.96353689330291	0.141496400861391	0.125071372150083	0.0158331722707799	0.411736465882257	0.516940107110736	0.0196557838838316	0.245845162276697	0.0148318535012346	0.176556053613937	0.159008228644802	0.255019250273219	0.00220576743232705	1.12500216315499	3.25665725186685	1.60264637093983	4.0189260949701
