"CD11c"	"CD61"	"CD11b"	"CD64"	"CD4"	"CD45"	"CD34"	"CD123"	"HLA-DR"	"CD117"	"CD62L"	"CD13"	"CD33"	"CD184"	"CD38"	"CD16"	"CD235a"	"CD183"	"CD19"	"CD56"	"CD24"	"CD25"	"CD15"	"CD185"	"CD14"	"CD7"	"CD3"
"4"	0.789877267118798	1.33553700578309	0.68372528826197	0.633150689243581	0.906595570242044	0.550025467586731	0.5	0.775392293881062	0.799280514127754	0.5	0.758348848171779	0.888202159769694	1.04930909247029	0.863941318601987	0.934326448517904	0.5	0.812116997938515	0.5	0.5	0.563686188087875	0.770136599171369	0.5	0.53999468730571	0.5	0.934311905721695	0.735034004417421	0.5
"5"	0.835212367241217	1.32801285996702	0.751295978748514	0.609669236385887	0.848490365584671	0.649484988230274	0.5	1.16545139862457	1.24073121008552	0.5	0.813268110563934	1.71102089490091	1.0604257294586	0.966707446300639	0.983800988767286	0.693579552167751	0.977125087460024	0.516330576171755	0.5	0.673469158843592	1.08835898186975	0.5	0.700100827691668	0.5	1.00982073910493	0.883126383725025	0.503144052491577
"12"	1.05780236637511	1.30125145963137	0.90584129619039	0.650446694635718	1.17982769794093	0.689540624586489	0.5	1.09013164788677	1.0226520978037	0.5	0.725007214425072	0.74139175099601	1.03786091584612	1.00178699645899	0.825967408041122	0.615319610255955	0.881318537551959	0.5	0.5	0.729878246891143	1.05730689065019	0.5	0.742564547621556	0.5	1.0380874539892	0.842496531663232	0.5
"8"	0.911571977306274	1.32237783364842	0.76645198543331	0.721243938235689	1.29149646366756	0.674263125815365	0.5	0.881763170027966	1.22010457372845	0.5	0.734390514821336	1.14998309565873	1.00971941689293	0.933151286118314	0.943410497964517	0.561299981425905	0.840575476714172	0.5	0.5	0.591449162140768	1.0380256194278	0.5	0.671755002880244	0.5	0.971787557129842	0.815982305306772	0.5
"9"	1.01882579864727	2.63706420912882	0.948799253906171	0.788167995846185	1.18219785626235	0.708840457917152	0.755968759999752	1.30557987229534	1.44825955138645	0.5	1.05657808866495	1.62359184344714	1.06323110501058	1.06813100278141	0.978541556523441	1.26462514766666	1.63139462804185	0.637766131808809	0.942245044194206	0.694182379716289	1.41465979994691	0.5	1.06495070318702	0.5	0.978353263699428	0.940671491547789	0.61151526340582
"3"	1.17989411526012	1.28685560128913	0.908339076984971	0.744559370981845	1.32134956566521	0.530094741279648	0.890303239884064	1.23034338599582	1.80911640432773	0.5	1.75696490299264	1.43701781486366	1.07825819153477	1.01823991179574	1.03605937668365	0.876058460783514	1.14743060213114	0.685527048033434	0.5	0.700885746185296	1.19627746029637	0.5	0.784806792240893	0.679358091179236	1.14918367245576	1.42890109742655	0.899352559559955
"7"	0.5	1.61118015215395	1.31390329177926	0.996239022225758	0.5	0.517203161499967	0.911441742721963	0.5	0.583852901683963	0.5	1.14308106324657	0.797599094916802	0.5	0.881086978114909	1.54475036669393	0.5	0.842902672509896	0.5	0.5	0.5	0.899562184943301	0.5	0.550599858989086	0.691611959347906	0.5	0.792311561760447	0.742209786510406
"2"	0.5	1.5799554629422	1.2061950683623	1.10284679635702	0.73270053558373	0.599137185499345	0.801708254038839	0.5	1.02934788282983	0.5	1.25891421453543	0.801650526740399	0.5	0.816390444935661	0.931251233351793	0.5	0.776030340869008	0.793952285025793	0.5	0.5	0.737819196087335	0.5	0.5	0.664633026702715	0.5	1.88193833136683	0.893516118694788
"6"	2.34480520472954	2.85632074962926	1.56689215760989	2.05710714942715	2.51232215577619	0.984800351465617	0.965606331213049	2.36593918595377	4.09766807428437	0.5	1.14763051662198	1.46027268944952	0.566889307263834	1.08878871634496	2.05659358929587	2.17418108063277	0.888875604458164	0.5	0.5	2.11769813605422	1.10774418470834	0.5	0.651261632828009	0.5	0.548697046601456	3.43709200352481	0.5
"13"	1.39454347950653	1.58674374123911	1.46680875854958	1.26962543950701	1.22941014433719	0.920652502097862	0.514238282954436	1.04900041911468	1.44252666682354	0.5	0.764362577889877	0.711708241662174	1.05312259691775	0.951819692914094	0.877947887924799	0.661703713101074	0.877323652663386	0.510533122071321	0.5	0.839181782632512	1.14756299073756	0.5	0.756682951914117	0.5	0.603349569756166	0.799326140547404	0.5
