"CD11c"	"CD61"	"CD11b"	"CD64"	"CD4"	"CD45"	"CD34"	"CD123"	"HLA-DR"	"CD117"	"CD62L"	"CD13"	"CD33"	"CD184"	"CD38"	"CD16"	"CD235a"	"CD183"	"CD19"	"CD56"	"CD24"	"CD25"	"CD15"	"CD185"	"CD14"	"CD7"	"CD3"
"4"	3.42814222766219	1.79400633614442	5.52041091938033	6.48186057333332	3.55209690843586	9.09175737915099	-3.66050997252195	-1.12333029433637	2.22874837887414	-0.758903360328543	-1.25129778093632	2.50379397097885	0.586348925694572	0.360469767242523	0.84069426052292	0.0277596621709688	0.126126740156303	-0.102142648326897	-0.00391014345473195	0.0589077122691195	0.137255698829697	0.00146267084298106	0.0348229013914952	0.00870304154712578	1.39571137631851	0.285826595390771	0.0763905734663726
"5"	3.08240959403169	2.65316997049782	4.35977615976597	5.72404448018873	3.65939497704575	8.30684033923113	-3.71972517288233	0.293421653926199	2.49693436268535	-0.857332090568414	-1.1730277202721	1.3389850222776	0.782646516262886	0.747546712489417	0.998306546432039	0.140598508904217	0.285961243491907	0.0739129066973057	-0.0122663356510193	0.152684280139394	0.386005767866059	-0.000734886463797662	0.111047405631567	0.00544934558439291	1.31145077902385	0.348557243825697	0.110656046402222
"12"	2.02378327809602	2.4850222583521	4.07255099203154	6.51509529045717	2.04375622328894	7.02873841488747	-3.6434645336843	0.269355362203002	1.5916233262857	-0.75602016818981	-1.40750946260077	-1.31760776810046	0.726559957029223	0.572267875080109	1.61701147399482	0.115496592075915	0.186493109525984	-0.102453351006409	0.00024187747044225	0.144628946649785	0.348430532882281	-0.00237460496381429	0.130197960799527	0.00741078630182505	0.926656323851627	0.28285467140344	0.0364681925631849
"8"	2.46880084789622	2.48846902958556	4.30210066832834	5.04963119456972	2.23458606796266	7.80404521156107	-3.74116992601794	-0.845691523521605	-0.69758028268953	-0.858398959377482	-1.43926468042129	1.42279845087278	0.609851878354154	0.340884645817293	0.956193269510963	0.0834936859097976	0.175349774707223	-0.129035752449656	-0.00332528654165789	0.0447454170766666	0.362366014764047	0.000120544419667882	0.103938199650291	0.00893025671196329	1.32019231679697	0.276847638370732	0.0546828583934669
"9"	2.80289815868247	3.16213760148483	4.55181146063347	5.8479477051767	2.80643291001631	6.99185241787061	-2.10093207077335	0.494431945635347	1.42590790772074	-0.617657863363308	-0.545021288089992	1.15772779689362	0.735905714132268	0.762991838015555	1.09821820831643	0.54458045689513	4.19780640591667	0.042725238806087	0.6101048128899	0.224922124507817	0.913703053046934	-0.00343468981395907	0.429069679776316	-0.000947880223391126	1.18643440085171	0.348990933218244	0.149768557627003
"3"	2.46317507297996	2.68925045325418	4.63864097691062	6.05984837333924	4.71089037934696	10	-1.42290419865844	0.135316697585909	1.20988833209919	-0.712471138255029	1.05255317083732	1.14466224661944	0.396257234409441	0.743799732245491	0.994978923317518	0.275943590184667	0.445581219233366	0.153921402929921	0.0629015248158849	0.200188753958117	0.486887976089399	-0.0105544242527257	0.245445309457797	0.309446971558194	1.00097742842538	2.8684048309665	3.71904638744513
"7"	-3.25679731276782	0.400442112259228	1.43812177897041	3.14984405289477	7.17671395441271	9.94235330756941	-1.42232987062122	-2.34359304945836	-3.61779378630738	-0.799116825428353	1.9678831689329	-1.14485959854048	-1.32137215470882	-0.441875752175357	-0.363025295508936	-0.00988904210499686	0.161747297399362	-0.116996194760097	-0.0050533269917733	-0.345460290000211	0.193304685809702	-0.00962922194075145	0.00882867702122862	0.374772741700749	0.481291565813338	3.56617329688744	4.1338331595048
"2"	-3.14550305012838	-0.385179697400366	1.43621837061106	2.58223689523986	5.94264364097236	8.72973063645034	-2.03511485102637	-2.32436934266991	-2.04203621508846	-0.750875787924676	-0.123551701646005	-1.13907091455153	-1.28006408730021	-0.686331700499425	-1.81258423604101	-0.0040899537443735	0.12649578473142	0.0891585974173459	-0.00550697747106415	-0.266290519327013	0.0601932479255315	-0.00402950855100647	-0.0300573730638064	0.306648203323309	0.429847491457544	1.94268457563442	3.72258756965268
"6"	2.38024191475168	1.85043644792612	2.1064224403441	1.26379730745881	1.49262805278449	6.35181318821035	-1.49133929246097	0.619266670963683	1.68984456924655	-0.73674386644576	-0.338715137424907	0.282811476915034	-0.929432385570376	-0.0997675168185067	-0.517248526691426	4.21684979695511	0.210246033708726	-0.112414177858357	-0.00395793377501057	0.542123320617396	0.557111324731485	0.000940362693980974	0.0774592316233571	0.00758434853289921	0.330262627493988	1.23258007096549	0.0837898700862866
"13"	1.34232764960709	1.99948334426314	1.6064349741182	4.23088512362698	2.12695044349542	4.92941373092788	-3.47158611509371	1.18636438941989	2.88212405752269	-0.734481433162587	-1.26267287746762	-1.45469434369087	0.654198498125184	1.44469267529356	1.99491997937357	0.137169459344947	0.172905749697296	-0.0708138077173704	0.00230661015019124	0.27655749700199	0.441716521266456	-0.00675174500471705	0.174713565384729	0.00513391641229947	0.263809420691989	0.236353222163355	-0.00251682324353675
